no_cidade,nome_da_nidade,gid,valor,taxa
"Moema","<i>Moema</i>","10701","<b>3</b>","3"
"Major Vieira","<i>Major Vieira</i>","6287","<b>0</b>","0"
"Maranhãozinho","<i>Maranhãozinho</i>","9166","<b>1</b>","1"
"Brejões","<i>Brejões</i>","7815","<b>4</b>","4"
"Fernão","<i>Fernão</i>","8450","<b>0</b>","0"
"Porecatu","<i>Porecatu</i>","6010","<b>0</b>","0"
"Cotiporã","<i>Cotiporã</i>","9391","<b>1</b>","1"
"Paiçandu","<i>Paiçandu</i>","5979","<b>1</b>","1"
"Caputira","<i>Caputira</i>","10352","<b>1</b>","1"
"Careaçu","<i>Careaçu</i>","10359","<b>0</b>","0"
"Machacalis","<i>Machacalis</i>","10660","<b>0</b>","0"
"Jacupiranga","<i>Jacupiranga</i>","8550","<b>0</b>","0"
"Brasileira","<i>Brasileira</i>","6926","<b>3</b>","3"
"Uruaçu","<i>Uruaçu</i>","7678","<b>3</b>","3"
"Dumont","<i>Dumont</i>","8432","<b>0</b>","0"
"Nova Castilho","<i>Nova Castilho</i>","8641","<b>0</b>","0"
"Godoy Moreira","<i>Godoy Moreira</i>","5857","<b>0</b>","0"
"Eldorado","<i>Eldorado</i>","9801","<b>1</b>","1"
"Bom Princípio do Piauí","<i>Bom Princípio do Piauí</i>","6923","<b>2</b>","2"
"Canoinhas","<i>Canoinhas</i>","6191","<b>5</b>","5"
"Igarassu","<i>Igarassu</i>","9922","<b>6</b>","6"
"Herveiras","<i>Herveiras</i>","9463","<b>0</b>","0"
"Guamaré","<i>Guamaré</i>","6477","<b>2</b>","2"
"Iraquara","<i>Iraquara</i>","7933","<b>3</b>","3"
"Alto Alegre do Maranhão","<i>Alto Alegre do Maranhão</i>","9061","<b>4</b>","4"
"Cabreúva","<i>Cabreúva</i>","8366","<b>4</b>","4"
"Placas","<i>Placas</i>","5667","<b>3</b>","3"
"Miguelópolis","<i>Miguelópolis</i>","8605","<b>1</b>","1"
"São José do Campestre","<i>São José do Campestre</i>","6561","<b>2</b>","2"
"Contenda","<i>Contenda</i>","5816","<b>1</b>","1"
"São Jerônimo da Serra","<i>São Jerônimo da Serra</i>","6073","<b>2</b>","2"
"Jaciara","<i>Jaciara</i>","7354","<b>3</b>","3"
"Vianópolis","<i>Vianópolis</i>","7683","<b>2</b>","2"
"Santa Filomena do Maranhão","<i>Santa Filomena do Maranhão</i>","9215","<b>0</b>","0"
"Pitimbu","<i>Pitimbu</i>","6741","<b>1</b>","1"
"Augusto de Lima","<i>Augusto de Lima</i>","10264","<b>0</b>","0"
"Ibema","<i>Ibema</i>","5873","<b>0</b>","0"
"Novo Acordo","<i>Novo Acordo</i>","9000","<b>0</b>","0"
"Conceição do Almeida","<i>Conceição do Almeida</i>","7863","<b>1</b>","1"
"São Luiz","<i>São Luiz</i>","10210","<b>2</b>","2"
"Lagoinha do Piauí","<i>Lagoinha do Piauí</i>","7003","<b>0</b>","0"
"Itatiaiuçu","<i>Itatiaiuçu</i>","10592","<b>2</b>","2"
"Lagoinha","<i>Lagoinha</i>","8568","<b>1</b>","1"
"Saloá","<i>Saloá</i>","9986","<b>2</b>","2"
"Elisiário","<i>Elisiário</i>","8436","<b>0</b>","0"
"Serrinha","<i>Serrinha</i>","6575","<b>2</b>","2"
"Boa Vista das Missões","<i>Boa Vista das Missões</i>","9315","<b>1</b>","1"
"Solânea","<i>Solânea</i>","6802","<b>4</b>","4"
"Barueri","<i>Barueri</i>","8335","<b>0</b>","0"
"Cruzeiro do Sul","<i>Cruzeiro do Sul</i>","5824","<b>0</b>","0"
"Lago dos Rodrigues","<i>Lago dos Rodrigues</i>","9157","<b>2</b>","2"
"Caetité","<i>Caetité</i>","7827","<b>4</b>","4"
"Guanhães","<i>Guanhães</i>","10529","<b>1</b>","1"
"Iacanga","<i>Iacanga</i>","8489","<b>1</b>","1"
"Itaperuçu","<i>Itaperuçu</i>","5893","<b>1</b>","1"
"São Gonçalo do Piauí","<i>São Gonçalo do Piauí</i>","7080","<b>2</b>","2"
"Sengés","<i>Sengés</i>","6095","<b>0</b>","0"
"Feira Nova do Maranhão","<i>Feira Nova do Maranhão</i>","9124","<b>2</b>","2"
"Pilão Arcado","<i>Pilão Arcado</i>","8060","<b>2</b>","2"
"Bom Retiro","<i>Bom Retiro</i>","6175","<b>1</b>","1"
"Santa Filomena","<i>Santa Filomena</i>","7068","<b>0</b>","0"
"Borborema","<i>Borborema</i>","8354","<b>0</b>","0"
"Jarinu","<i>Jarinu</i>","8556","<b>1</b>","1"
"Floriano Peixoto","<i>Floriano Peixoto</i>","9440","<b>0</b>","0"
"Linha Nova","<i>Linha Nova</i>","9508","<b>0</b>","0"
"Alto Alegre","<i>Alto Alegre</i>","9281","<b>0</b>","0"
"Boca da Mata","<i>Boca da Mata</i>","10042","<b>3</b>","3"
"Pacujá","<i>Pacujá</i>","7245","<b>2</b>","2"
"Jussari","<i>Jussari</i>","7982","<b>1</b>","1"
"Lunardelli","<i>Lunardelli</i>","5926","<b>0</b>","0"
"Irará","<i>Irará</i>","7934","<b>4</b>","4"
"Maraú","<i>Maraú</i>","8011","<b>1</b>","1"
"Foz do Jordão","<i>Foz do Jordão</i>","5855","<b>2</b>","2"
"Itabi","<i>Itabi</i>","7715","<b>0</b>","0"
"Piraí do Sul","<i>Piraí do Sul</i>","6002","<b>2</b>","2"
"Mossoró","<i>Mossoró</i>","6515","<b>10</b>","10"
"Santa Carmem","<i>Santa Carmem</i>","7406","<b>0</b>","0"
"Santa Cruz","<i>Santa Cruz</i>","6762","<b>0</b>","0"
"Capelinha","<i>Capelinha</i>","10345","<b>4</b>","4"
"Princesa Isabel","<i>Princesa Isabel</i>","6747","<b>8</b>","8"
"Lagoa Santa","<i>Lagoa Santa</i>","10642","<b>2</b>","2"
"Araçatuba","<i>Araçatuba</i>","8302","<b>6</b>","6"
"Inconfidentes","<i>Inconfidentes</i>","10559","<b>0</b>","0"
"Palmeiras de Goiás","<i>Palmeiras de Goiás</i>","7614","<b>2</b>","2"
"Santópolis do Aguapeí","<i>Santópolis do Aguapeí</i>","8812","<b>1</b>","1"
"Pedro Afonso","<i>Pedro Afonso</i>","9009","<b>0</b>","0"
"Pedra Grande","<i>Pedra Grande</i>","6531","<b>3</b>","3"
"Bom Jesus","<i>Bom Jesus</i>","6446","<b>1</b>","1"
"Santa Bárbara do Monte Verde","<i>Santa Bárbara do Monte Verde</i>","10877","<b>0</b>","0"
"Itanhém","<i>Itanhém</i>","7951","<b>2</b>","2"
"Pedro Leopoldo","<i>Pedro Leopoldo</i>","10787","<b>0</b>","0"
"Araruna","<i>Araruna</i>","6608","<b>3</b>","3"
"Vista Alegre","<i>Vista Alegre</i>","9763","<b>1</b>","1"
"Floresta","<i>Floresta</i>","5848","<b>0</b>","0"
"Lavandeira","<i>Lavandeira</i>","8984","<b>1</b>","1"
"Sigefredo Pacheco","<i>Sigefredo Pacheco</i>","7100","<b>0</b>","0"
"Hidrolândia","<i>Hidrolândia</i>","7185","<b>1</b>","1"
"Arcos","<i>Arcos</i>","10257","<b>3</b>","3"
"Rodeiro","<i>Rodeiro</i>","10865","<b>0</b>","0"
"Apuiarés","<i>Apuiarés</i>","7126","<b>2</b>","2"
"Nova Olinda","<i>Nova Olinda</i>","7237","<b>3</b>","3"
"Alagoa Nova","<i>Alagoa Nova</i>","6598","<b>2</b>","2"
"João Monlevade","<i>João Monlevade</i>","10622","<b>3</b>","3"
"Igrejinha","<i>Igrejinha</i>","9472","<b>1</b>","1"
"Biritinga","<i>Biritinga</i>","7806","<b>2</b>","2"
"Corupá","<i>Corupá</i>","6205","<b>1</b>","1"
"Tenente Ananias","<i>Tenente Ananias</i>","6582","<b>2</b>","2"
"Cidreira","<i>Cidreira</i>","9380","<b>0</b>","0"
"Alagoinha","<i>Alagoinha</i>","6599","<b>0</b>","0"
"São Romão","<i>São Romão</i>","10964","<b>0</b>","0"
"Miguel Pereira","<i>Miguel Pereira</i>","8222","<b>1</b>","1"
"Santana de Parnaíba","<i>Santana de Parnaíba</i>","8799","<b>7</b>","7"
"Tacuru","<i>Tacuru</i>","9843","<b>0</b>","0"
"Caxias","<i>Caxias</i>","9106","<b>7</b>","7"
"Cruzmaltina","<i>Cruzmaltina</i>","5826","<b>1</b>","1"
"Rio Azul","<i>Rio Azul</i>","6038","<b>1</b>","1"
"Marechal Floriano","<i>Marechal Floriano</i>","11110","<b>2</b>","2"
"Alto Feliz","<i>Alto Feliz</i>","9282","<b>0</b>","0"
"Cristino Castro","<i>Cristino Castro</i>","6958","<b>2</b>","2"
"São José do Vale do Rio Preto","<i>São José do Vale do Rio Preto</i>","8255","<b>2</b>","2"
"Dourados","<i>Dourados</i>","9800","<b>10</b>","10"
"Santo Antônio do Grama","<i>Santo Antônio do Grama</i>","10911","<b>1</b>","1"
"Barretos","<i>Barretos</i>","8333","<b>4</b>","4"
"Nova Candelária","<i>Nova Candelária</i>","9547","<b>1</b>","1"
"Cacaulândia","<i>Cacaulândia</i>","6847","<b>1</b>","1"
"Carrapateira","<i>Carrapateira</i>","6649","<b>0</b>","0"
"Petrolândia","<i>Petrolândia</i>","9972","<b>6</b>","6"
"Indianópolis","<i>Indianópolis</i>","10561","<b>1</b>","1"
"Votorantim","<i>Votorantim</i>","8911","<b>4</b>","4"
"Pedrinhas","<i>Pedrinhas</i>","7736","<b>1</b>","1"
"Arantina","<i>Arantina</i>","10250","<b>0</b>","0"
"Vila Boa","<i>Vila Boa</i>","7685","<b>2</b>","2"
"Imigrante","<i>Imigrante</i>","9476","<b>1</b>","1"
"São João do Pau d'Alho","<i>São João do Pau d'Alho</i>","8822","<b>0</b>","0"
"Mulungu do Morro","<i>Mulungu do Morro</i>","8027","<b>5</b>","5"
"Aguanil","<i>Aguanil</i>","10219","<b>0</b>","0"
"Centro do Guilherme","<i>Centro do Guilherme</i>","9109","<b>3</b>","3"
"Borba","<i>Borba</i>","10148","<b>3</b>","3"
"Bastos","<i>Bastos</i>","8336","<b>2</b>","2"
"Santa Isabel do Rio Negro","<i>Santa Isabel do Rio Negro</i>","10184","<b>1</b>","1"
"Fortaleza do Tabocão","<i>Fortaleza do Tabocão</i>","8969","<b>1</b>","1"
"Coronel Domingos Soares","<i>Coronel Domingos Soares</i>","5819","<b>1</b>","1"
"Itaipulândia","<i>Itaipulândia</i>","5889","<b>1</b>","1"
"Parelhas","<i>Parelhas</i>","6524","<b>3</b>","3"
"São Pedro da União","<i>São Pedro da União</i>","10961","<b>0</b>","0"
"Imbuia","<i>Imbuia</i>","6245","<b>0</b>","0"
"Harmonia","<i>Harmonia</i>","9462","<b>0</b>","0"
"Icapuí","<i>Icapuí</i>","7190","<b>5</b>","5"
"Portelândia","<i>Portelândia</i>","7631","<b>1</b>","1"
"Amontada","<i>Amontada</i>","7124","<b>9</b>","9"
"Extrema","<i>Extrema</i>","10491","<b>0</b>","0"
"Sítio Novo","<i>Sítio Novo</i>","6578","<b>1</b>","1"
"Araçagi","<i>Araçagi</i>","6606","<b>1</b>","1"
"Curral Velho","<i>Curral Velho</i>","6666","<b>0</b>","0"
"Nuporanga","<i>Nuporanga</i>","8650","<b>1</b>","1"
"Xavantina","<i>Xavantina</i>","6424","<b>1</b>","1"
"Uruana","<i>Uruana</i>","7679","<b>1</b>","1"
"Pedro Velho","<i>Pedro Velho</i>","6534","<b>2</b>","2"
"Ampére","<i>Ampére</i>","5744","<b>4</b>","4"
"Mucugê","<i>Mucugê</i>","8025","<b>0</b>","0"
"Vitorino","<i>Vitorino</i>","6131","<b>1</b>","1"
"Santo Amaro da Imperatriz","<i>Santo Amaro da Imperatriz</i>","6368","<b>1</b>","1"
"Jatobá","<i>Jatobá</i>","9148","<b>0</b>","0"
"Machados","<i>Machados</i>","9952","<b>2</b>","2"
"Corumbiara","<i>Corumbiara</i>","6824","<b>2</b>","2"
"São Joaquim do Monte","<i>São Joaquim do Monte</i>","9999","<b>2</b>","2"
"Rio Bom","<i>Rio Bom</i>","6039","<b>0</b>","0"
"Americana","<i>Americana</i>","8289","<b>6</b>","6"
"Colinas do Tocantins","<i>Colinas do Tocantins</i>","8953","<b>6</b>","6"
"Bonfinópolis de Minas","<i>Bonfinópolis de Minas</i>","10298","<b>1</b>","1"
"Caparaó","<i>Caparaó</i>","10343","<b>0</b>","0"
"Cachoeira do Piriá","<i>Cachoeira do Piriá</i>","5603","<b>5</b>","5"
"Afonso Bezerra","<i>Afonso Bezerra</i>","6430","<b>2</b>","2"
"Lages","<i>Lages</i>","6273","<b>12</b>","12"
"Mirassol","<i>Mirassol</i>","8611","<b>3</b>","3"
"Treze Tílias","<i>Treze Tílias</i>","6407","<b>1</b>","1"
"Nova Boa Vista","<i>Nova Boa Vista</i>","9545","<b>1</b>","1"
"Jupi","<i>Jupi</i>","9942","<b>0</b>","0"
"Lontra","<i>Lontra</i>","10655","<b>1</b>","1"
"Alto Paraíso","<i>Alto Paraíso</i>","6128","<b>0</b>","0"
"Cláudio","<i>Cláudio</i>","10394","<b>3</b>","3"
"São Pedro do Ivaí","<i>São Pedro do Ivaí</i>","6088","<b>1</b>","1"
"Lajes","<i>Lajes</i>","6501","<b>0</b>","0"
"Brazópolis","<i>Brazópolis</i>","10307","<b>1</b>","1"
"Franca","<i>Franca</i>","8456","<b>8</b>","8"
"Galiléia","<i>Galiléia</i>","10518","<b>0</b>","0"
"Alambari","<i>Alambari</i>","8279","<b>0</b>","0"
"Palmitos","<i>Palmitos</i>","6316","<b>2</b>","2"
"Cabrália Paulista","<i>Cabrália Paulista</i>","8365","<b>1</b>","1"
"Parauapebas","<i>Parauapebas</i>","5663","<b>7</b>","7"
"Sousa","<i>Sousa</i>","6805","<b>6</b>","6"
"Amajari","<i>Amajari</i>","10197","<b>9</b>","9"
"Barrinha","<i>Barrinha</i>","8334","<b>2</b>","2"
"Amparo de São Francisco","<i>Amparo de São Francisco</i>","7687","<b>0</b>","0"
"Itaú de Minas","<i>Itaú de Minas</i>","10593","<b>0</b>","0"
"Muricilândia","<i>Muricilândia</i>","8995","<b>0</b>","0"
"Cumbe","<i>Cumbe</i>","7703","<b>1</b>","1"
"Frei Gaspar","<i>Frei Gaspar</i>","10510","<b>0</b>","0"
"Doutor Pedrinho","<i>Doutor Pedrinho</i>","6214","<b>0</b>","0"
"Barreiras do Piauí","<i>Barreiras do Piauí</i>","6912","<b>0</b>","0"
"Rosário do Catete","<i>Rosário do Catete</i>","7746","<b>0</b>","0"
"Cachoeira Dourada","<i>Cachoeira Dourada</i>","10318","<b>0</b>","0"
"Carmo do Cajuru","<i>Carmo do Cajuru</i>","10365","<b>1</b>","1"
"Varzelândia","<i>Varzelândia</i>","11048","<b>1</b>","1"
"Tunas do Paraná","<i>Tunas do Paraná</i>","6115","<b>1</b>","1"
"Criciúma","<i>Criciúma</i>","6207","<b>8</b>","8"
"Campina Grande","<i>Campina Grande</i>","6646","<b>10</b>","10"
"Nilópolis","<i>Nilópolis</i>","8225","<b>2</b>","2"
"Assaí","<i>Assaí</i>","5757","<b>0</b>","0"
"Carlos Chagas","<i>Carlos Chagas</i>","10360","<b>0</b>","0"
"Bocaiúva do Sul","<i>Bocaiúva do Sul</i>","5773","<b>2</b>","2"
"Guimarães","<i>Guimarães</i>","9139","<b>4</b>","4"
"São João do Paraíso","<i>São João do Paraíso</i>","9235","<b>4</b>","4"
"Diogo de Vasconcelos","<i>Diogo de Vasconcelos</i>","10452","<b>2</b>","2"
"Tumiritinga","<i>Tumiritinga</i>","11027","<b>2</b>","2"
"Santa Rosa do Sul","<i>Santa Rosa do Sul</i>","6364","<b>0</b>","0"
"Maturéia","<i>Maturéia</i>","6714","<b>1</b>","1"
"Amparo do Serra","<i>Amparo do Serra</i>","10238","<b>0</b>","0"
"São Gabriel da Palha","<i>São Gabriel da Palha</i>","11130","<b>1</b>","1"
"Brejão","<i>Brejão</i>","9873","<b>3</b>","3"
"Orocó","<i>Orocó</i>","9960","<b>9</b>","9"
"Passa Tempo","<i>Passa Tempo</i>","10768","<b>0</b>","0"
"Santa Rita de Minas","<i>Santa Rita de Minas</i>","10903","<b>0</b>","0"
"Floreal","<i>Floreal</i>","8453","<b>0</b>","0"
"Bonfim do Piauí","<i>Bonfim do Piauí</i>","6924","<b>1</b>","1"
"Camaragibe","<i>Camaragibe</i>","9884","<b>11</b>","11"
"Rio do Pires","<i>Rio do Pires</i>","8092","<b>3</b>","3"
"Doutor Camargo","<i>Doutor Camargo</i>","5834","<b>0</b>","0"
"São João da Canabrava","<i>São João da Canabrava</i>","7081","<b>0</b>","0"
"Lagoa de Velhos","<i>Lagoa de Velhos</i>","6498","<b>1</b>","1"
"Alto Longá","<i>Alto Longá</i>","6897","<b>1</b>","1"
"Serro","<i>Serro</i>","11000","<b>3</b>","3"
"Cabrobó","<i>Cabrobó</i>","9879","<b>5</b>","5"
"Dom Inocêncio","<i>Dom Inocêncio</i>","6967","<b>2</b>","2"
"São Carlos","<i>São Carlos</i>","6372","<b>1</b>","1"
"Canarana","<i>Canarana</i>","7325","<b>4</b>","4"
"Castanheira","<i>Castanheira</i>","7327","<b>1</b>","1"
"Cacimba de Areia","<i>Cacimba de Areia</i>","6638","<b>0</b>","0"
"Vespasiano Correa","<i>Vespasiano Correa</i>","9754","<b>0</b>","0"
"Santo Antônio de Goiás","<i>Santo Antônio de Goiás</i>","7652","<b>1</b>","1"
"Xapuri","<i>Xapuri</i>","6890","<b>4</b>","4"
"Bom Jesus de Goiás","<i>Bom Jesus de Goiás</i>","7474","<b>3</b>","3"
"Piranguçu","<i>Piranguçu</i>","10807","<b>0</b>","0"
"Roncador","<i>Roncador</i>","6045","<b>1</b>","1"
"Araguainha","<i>Araguainha</i>","7310","<b>1</b>","1"
"Paraibano","<i>Paraibano</i>","9186","<b>1</b>","1"
"Itaí","<i>Itaí</i>","8520","<b>0</b>","0"
"Capivari de Baixo","<i>Capivari de Baixo</i>","6193","<b>2</b>","2"
"Delfinópolis","<i>Delfinópolis</i>","10446","<b>0</b>","0"
"Maurilândia do Tocantins","<i>Maurilândia do Tocantins</i>","8989","<b>1</b>","1"
"São Mateus do Maranhão","<i>São Mateus do Maranhão</i>","9242","<b>1</b>","1"
"Pilar","<i>Pilar</i>","10107","<b>1</b>","1"
"Tocantinópolis","<i>Tocantinópolis</i>","9050","<b>2</b>","2"
"Planaltino","<i>Planaltino</i>","8067","<b>1</b>","1"
"Carmo de Minas","<i>Carmo de Minas</i>","10364","<b>1</b>","1"
"Miraselva","<i>Miraselva</i>","5955","<b>0</b>","0"
"Guabiruba","<i>Guabiruba</i>","6232","<b>1</b>","1"
"Conceição do Araguaia","<i>Conceição do Araguaia</i>","5612","<b>2</b>","2"
"Itabela","<i>Itabela</i>","7936","<b>0</b>","0"
"Araioses","<i>Araioses</i>","9070","<b>1</b>","1"
"Rio das Antas","<i>Rio das Antas</i>","6346","<b>0</b>","0"
"Santo Antônio do Palma","<i>Santo Antônio do Palma</i>","9646","<b>0</b>","0"
"Tijucas","<i>Tijucas</i>","6400","<b>1</b>","1"
"Bandeirantes","<i>Bandeirantes</i>","5762","<b>1</b>","1"
"Dionísio Cerqueira","<i>Dionísio Cerqueira</i>","6212","<b>1</b>","1"
"Buriticupu","<i>Buriticupu</i>","9095","<b>12</b>","12"
"Lajedo","<i>Lajedo</i>","9949","<b>3</b>","3"
"Palmelo","<i>Palmelo</i>","7615","<b>1</b>","1"
"Capitão de Campos","<i>Capitão de Campos</i>","6941","<b>1</b>","1"
"Romelândia","<i>Romelândia</i>","6356","<b>0</b>","0"
"Olho d'Água","<i>Olho d'Água</i>","6725","<b>2</b>","2"
"Magé","<i>Magé</i>","8217","<b>7</b>","7"
"Tufilândia","<i>Tufilândia</i>","9260","<b>2</b>","2"
"Touros","<i>Touros</i>","6586","<b>6</b>","6"
"Urucânia","<i>Urucânia</i>","11040","<b>0</b>","0"
"Rosário","<i>Rosário</i>","9213","<b>6</b>","6"
"Treviso","<i>Treviso</i>","6405","<b>1</b>","1"
"Palma","<i>Palma</i>","10758","<b>2</b>","2"
"Vera Cruz do Oeste","<i>Vera Cruz do Oeste</i>","6126","<b>1</b>","1"
"Natividade","<i>Natividade</i>","8996","<b>0</b>","0"
"Torrinha","<i>Torrinha</i>","8882","<b>0</b>","0"
"Laguna Carapã","<i>Laguna Carapã</i>","9817","<b>2</b>","2"
"Catalão","<i>Catalão</i>","7499","<b>8</b>","8"
"Ibicoara","<i>Ibicoara</i>","7910","<b>1</b>","1"
"Naque","<i>Naque</i>","10723","<b>0</b>","0"
"Nazaré","<i>Nazaré</i>","8033","<b>2</b>","2"
"Vista Alegre do Prata","<i>Vista Alegre do Prata</i>","9764","<b>1</b>","1"
"Monsenhor Gil","<i>Monsenhor Gil</i>","7021","<b>1</b>","1"
"Sucupira do Norte","<i>Sucupira do Norte</i>","9254","<b>1</b>","1"
"Capoeiras","<i>Capoeiras</i>","9888","<b>3</b>","3"
"Mamborê","<i>Mamborê</i>","5929","<b>1</b>","1"
"Cipó","<i>Cipó</i>","7859","<b>2</b>","2"
"Belo Vale","<i>Belo Vale</i>","10279","<b>3</b>","3"
"Barra do Turvo","<i>Barra do Turvo</i>","8332","<b>1</b>","1"
"Centro Novo do Maranhão","<i>Centro Novo do Maranhão</i>","9110","<b>3</b>","3"
"Maravilha","<i>Maravilha</i>","10082","<b>1</b>","1"
"Piracema","<i>Piracema</i>","10804","<b>0</b>","0"
"Cascalho Rico","<i>Cascalho Rico</i>","10374","<b>0</b>","0"
"São José do Alegre","<i>São José do Alegre</i>","10954","<b>0</b>","0"
"Arenópolis","<i>Arenópolis</i>","7466","<b>0</b>","0"
"Engenheiro Paulo de Frontin","<i>Engenheiro Paulo de Frontin</i>","8204","<b>1</b>","1"
"Laje do Muriaé","<i>Laje do Muriaé</i>","8214","<b>3</b>","3"
"Monte Negro","<i>Monte Negro</i>","6857","<b>1</b>","1"
"Bocaina de Minas","<i>Bocaina de Minas</i>","10288","<b>0</b>","0"
"Viana","<i>Viana</i>","11138","<b>5</b>","5"
"Cumaru do Norte","<i>Cumaru do Norte</i>","5614","<b>3</b>","3"
"Campinas do Piauí","<i>Campinas do Piauí</i>","6934","<b>0</b>","0"
"Nova Ramada","<i>Nova Ramada</i>","9554","<b>0</b>","0"
"Mauriti","<i>Mauriti</i>","7224","<b>4</b>","4"
"Santa Inês","<i>Santa Inês</i>","6764","<b>0</b>","0"
"São Luís do Quitunde","<i>São Luís do Quitunde</i>","10123","<b>0</b>","0"
"Manoel Urbano","<i>Manoel Urbano</i>","6880","<b>1</b>","1"
"Governador Dix-Sept Rosado","<i>Governador Dix-Sept Rosado</i>","6475","<b>3</b>","3"
"Caiabu","<i>Caiabu</i>","8371","<b>0</b>","0"
"Antônio Prado","<i>Antônio Prado</i>","9288","<b>2</b>","2"
"Santana do Maranhão","<i>Santana do Maranhão</i>","9222","<b>0</b>","0"
"Cachoeirinha","<i>Cachoeirinha</i>","9880","<b>2</b>","2"
"Suzano","<i>Suzano</i>","8855","<b>8</b>","8"
"Presidente Dutra","<i>Presidente Dutra</i>","8075","<b>3</b>","3"
"Cláudia","<i>Cláudia</i>","7329","<b>0</b>","0"
"Jacaré dos Homens","<i>Jacaré dos Homens</i>","10069","<b>0</b>","0"
"Nova Veneza","<i>Nova Veneza</i>","6305","<b>0</b>","0"
"Lagoa do Piauí","<i>Lagoa do Piauí</i>","7007","<b>1</b>","1"
"Riacho de Santo Antônio","<i>Riacho de Santo Antônio</i>","6756","<b>1</b>","1"
"Paulo Jacinto","<i>Paulo Jacinto</i>","10104","<b>1</b>","1"
"Santa Maria da Vitória","<i>Santa Maria da Vitória</i>","8105","<b>1</b>","1"
"Lagoa Formosa","<i>Lagoa Formosa</i>","10640","<b>1</b>","1"
"Chapada do Norte","<i>Chapada do Norte</i>","10388","<b>1</b>","1"
"Luzinópolis","<i>Luzinópolis</i>","8986","<b>1</b>","1"
"São João do Soter","<i>São João do Soter</i>","9236","<b>2</b>","2"
"Duartina","<i>Duartina</i>","8431","<b>2</b>","2"
"Painel","<i>Painel</i>","6312","<b>1</b>","1"
"Brejo de Areia","<i>Brejo de Areia</i>","9092","<b>2</b>","2"
"Simão Pereira","<i>Simão Pereira</i>","11004","<b>0</b>","0"
"Humaitá","<i>Humaitá</i>","10160","<b>7</b>","7"
"Mucajaí","<i>Mucajaí</i>","10205","<b>9</b>","9"
"Raul Soares","<i>Raul Soares</i>","10840","<b>2</b>","2"
"Boqueirão","<i>Boqueirão</i>","6629","<b>4</b>","4"
"Ibaretama","<i>Ibaretama</i>","7187","<b>3</b>","3"
"Ribeirão Grande","<i>Ribeirão Grande</i>","8756","<b>1</b>","1"
"Jandaia do Sul","<i>Jandaia do Sul</i>","5903","<b>2</b>","2"
"Ubiratã","<i>Ubiratã</i>","6119","<b>2</b>","2"
"Itacajá","<i>Itacajá</i>","8975","<b>1</b>","1"
"Pedro Laurentino","<i>Pedro Laurentino</i>","7049","<b>2</b>","2"
"Malta","<i>Malta</i>","6704","<b>0</b>","0"
"Caetanos","<i>Caetanos</i>","7826","<b>2</b>","2"
"Carmésia","<i>Carmésia</i>","10361","<b>0</b>","0"
"Campo do Meio","<i>Campo do Meio</i>","10334","<b>0</b>","0"
"Ferraz de Vasconcelos","<i>Ferraz de Vasconcelos</i>","8451","<b>4</b>","4"
"Jaru","<i>Jaru</i>","6828","<b>0</b>","0"
"Guapimirim","<i>Guapimirim</i>","8205","<b>4</b>","4"
"Morro Agudo","<i>Morro Agudo</i>","8627","<b>3</b>","3"
"Francinópolis","<i>Francinópolis</i>","6975","<b>0</b>","0"
"Mesquita","<i>Mesquita</i>","8221","<b>7</b>","7"
"Ipojuca","<i>Ipojuca</i>","9926","<b>3</b>","3"
"Divinésia","<i>Divinésia</i>","10454","<b>0</b>","0"
"Campo Bonito","<i>Campo Bonito</i>","5790","<b>1</b>","1"
"Jussara","<i>Jussara</i>","5914","<b>0</b>","0"
"Santana do Cariri","<i>Santana do Cariri</i>","7274","<b>1</b>","1"
"Baixa Grande do Ribeiro","<i>Baixa Grande do Ribeiro</i>","6909","<b>4</b>","4"
"Águas Vermelhas","<i>Águas Vermelhas</i>","10221","<b>1</b>","1"
"Porto Amazonas","<i>Porto Amazonas</i>","6011","<b>1</b>","1"
"Conceição","<i>Conceição</i>","6654","<b>1</b>","1"
"Itatinga","<i>Itatinga</i>","8539","<b>1</b>","1"
"Santa Quitéria do Maranhão","<i>Santa Quitéria do Maranhão</i>","9220","<b>0</b>","0"
"Embu das Artes","<i>Embu das Artes</i>","8438","<b>4</b>","4"
"São Francisco de Paula","<i>São Francisco de Paula</i>","9656","<b>1</b>","1"
"Cacoal","<i>Cacoal</i>","6821","<b>7</b>","7"
"Breu Branco","<i>Breu Branco</i>","5600","<b>9</b>","9"
"Ilha Solteira","<i>Ilha Solteira</i>","8505","<b>2</b>","2"
"Bernardo Sayão","<i>Bernardo Sayão</i>","8939","<b>1</b>","1"
"Inhambupe","<i>Inhambupe</i>","7926","<b>2</b>","2"
"Rifaina","<i>Rifaina</i>","8760","<b>0</b>","0"
"Rio das Pedras","<i>Rio das Pedras</i>","8764","<b>3</b>","3"
"Siqueira Campos","<i>Siqueira Campos</i>","6099","<b>1</b>","1"
"Currais Novos","<i>Currais Novos</i>","6461","<b>2</b>","2"
"Leandro Ferreira","<i>Leandro Ferreira</i>","10649","<b>0</b>","0"
"Água Limpa","<i>Água Limpa</i>","7446","<b>1</b>","1"
"Santa Bárbara de Goiás","<i>Santa Bárbara de Goiás</i>","7641","<b>1</b>","1"
"Japonvar","<i>Japonvar</i>","10612","<b>0</b>","0"
"Formosa do Oeste","<i>Formosa do Oeste</i>","5851","<b>1</b>","1"
